id,cedula,nombres,apellidos,direccion
1,1350843323,Francisco,Reyes,callefrancia
2,2332334444,Uran,Vlok,calleucrania
3,5566544545,German,Garson,callealemania
4,3434345666,Italo,Pihuave,calleitalia
5,0999948883,Finla,Chonillo,callefinlandia
6,0049948885,Irael,Ozoro,calleiran
7,3499595003,Jose,Intriago,callejose
8,0009499985,Andres,Chavez,calleandres
9,9488888333,Juan,Chile,callejuan
10,443344444,Maxi,Mejia,callemexico
11,009949888,Cania,Urdanigo,callecanada
12,040494994,Jairo,Tellez,callejairo
13,333333333,Maila,Lucas,callemalia
14,444444444,Chinbo,Acraf,callechibo
15,223232323,Inlia,Ramos,calleisrael
